"","binomial","year","sampling_interval","decimalLongitude","decimalLatitude","label"
"1","Apalone spinifera",1979,"1971–1990",-81.959697,42.36866,"Apalone spinifera — 1979"
"2","Caretta caretta",1979,"1971–1990",-65.717,42.067,"Caretta caretta — 1979"
"3","Charina bottae",1976,"1971–1990",-119.973566,49.202462,"Charina bottae — 1976"
"4","Chelydra serpentina",1989,"1971–1990",-77.613712,44.774419,"Chelydra serpentina — 1989"
"5","Chrysemys picta",1988,"1971–1990",-90.071614,48.220745,"Chrysemys picta — 1988"
"6","Coluber constrictor",1950,"≤1950",-119.5842109,49.6431444,"Coluber constrictor — 1950"
"7","Crotalus confluentus",1926,"≤1950",-112.68738,49.9291,"Crotalus confluentus — 1926"
"8","Crotalus horridus",1918,"≤1950",-82.515007,41.946431,"Crotalus horridus — 1918"
"9","Crotalus oreganus",1970,"1951–1970",-119.66608,49.03163,"Crotalus oreganus — 1970"
"10","Crotalus viridis",1981,"1971–1990",-111.988889,49.738889,"Crotalus viridis — 1981"
"11","Dermochelys coriacea",1981,"1971–1990",-66.567,42.1,"Dermochelys coriacea — 1981"
"12","Diadophis punctatus",1988,"1971–1990",-65.959611,47.141968,"Diadophis punctatus — 1988"
"13","Elaphe vulpina",1969,"1951–1970",-80.242897,42.561298,"Elaphe vulpina — 1969"
"14","Elgaria coerulea",1989,"1971–1990",-123.31662,48.46847,"Elgaria coerulea — 1989"
"15","Emydoidea blandingii",1987,"1971–1990",-80.300861,43.284699,"Emydoidea blandingii — 1987"
"16","Eumeces fasciatus",1962,"1951–1970",-79.623611,44.872222,"Eumeces fasciatus — 1962"
"17","Glyptemys insculpta",1988,"1971–1990",-62.0597,45.2466,"Glyptemys insculpta — 1988"
"18","Graptemys geographica",1987,"1971–1990",-75.853338,44.478351,"Graptemys geographica — 1987"
"19","Heterodon nasicus",1980,"1971–1990",-110.8125,49.25,"Heterodon nasicus — 1980"
"20","Heterodon platirhinos",1989,"1971–1990",-81.870692,43.310864,"Heterodon platirhinos — 1989"
"21","Lampropeltis doliata",1940,"≤1950",-79.616667,43.533333,"Lampropeltis doliata — 1940"
"22","Lampropeltis triangulum",1986,"1971–1990",-75.917953,44.398076,"Lampropeltis triangulum — 1986"
"23","Liochlorophis vernalis",1949,"≤1950",-64.7628,44.0728,"Liochlorophis vernalis — 1949"
"24","Natrix sipedon",1940,"≤1950",-79.583333,43.55,"Natrix sipedon — 1940"
"25","Nerodia sipedon",1988,"1971–1990",-81.849122,42.300519,"Nerodia sipedon — 1988"
"26","Opheodrys vernalis",1987,"1971–1990",-80.119518,43.416478,"Opheodrys vernalis — 1987"
"27","Pantherophis spiloides",1984,"1971–1990",-76.210312,44.409959,"Pantherophis spiloides — 1984"
"28","Pantherophis vulpinus",1989,"1971–1990",-82.451771,42.564095,"Pantherophis vulpinus — 1989"
"29","Phrynosoma cornutum",1917,"≤1950",-111.9641,49.00181,"Phrynosoma cornutum — 1917"
"30","Phrynosoma douglasii",1961,"1951–1970",-111.171667,50.890278,"Phrynosoma douglasii — 1961"
"31","Phrynosoma hernandesi",1980,"1971–1990",-111.491111,49.931944,"Phrynosoma hernandesi — 1980"
"32","Pituophis catenifer",1976,"1971–1990",-119.609928,49.202462,"Pituophis catenifer — 1976"
"33","Pituophis melanoleucus",1975,"1971–1990",-110.45,50.816667,"Pituophis melanoleucus — 1975"
"34","Plestiodon fasciatus",1979,"1971–1990",-82.428317,41.891094,"Plestiodon fasciatus — 1979"
"35","Plestiodon skiltonianus",1949,"≤1950",-117.854767,49.376629,"Plestiodon skiltonianus — 1949"
"36","Regina septemvittata",1988,"1971–1990",-80.381863,43.167363,"Regina septemvittata — 1988"
"37","Sceloporus clarki",1960,"1951–1970",-123.114448,49.249708,"Sceloporus clarki — 1960"
"38","Sistrurus catenatus",1822,"≤1950",-81.5132066,43.9608402,"Sistrurus catenatus — 1822"
"39","Sistrurus miliarius",1936,"≤1950",-100.34216,53.28603,"Sistrurus miliarius — 1936"
"40","Sternotherus odoratus",1982,"1971–1990",-75.915312,44.595526,"Sternotherus odoratus — 1982"
"41","Storeria dekayi",1989,"1971–1990",-82.507759,42.5702,"Storeria dekayi — 1989"
"42","Storeria occipitomaculata",1985,"1971–1990",-79.999532,43.520183,"Storeria occipitomaculata — 1985"
"43","Testudines",1979,"1971–1990",-66.017,42.117,"Testudines — 1979"
"44","Thamnophis butleri",1880,"≤1950",-82.4101,42.4719,"Thamnophis butleri — 1880"
"45","Thamnophis elegans",1988,"1971–1990",-112.9175,51.930556,"Thamnophis elegans — 1988"
"46","Thamnophis ordinoides",1986,"1971–1990",-124.33326,49.30453,"Thamnophis ordinoides — 1986"
"47","Thamnophis radix",1989,"1971–1990",-112.866667,53.111111,"Thamnophis radix — 1989"
"48","Thamnophis saurita",1985,"1971–1990",-80.254678,43.42002,"Thamnophis saurita — 1985"
"49","Thamnophis sirtalis",1988,"1971–1990",-66.93445,44.89441,"Thamnophis sirtalis — 1988"
"50","Varanidae",1962,"1951–1970",-123.114448,49.249708,"Varanidae — 1962"
